Unnamed: 0,t,dist,I,coll,var
370,17.0,2274.603687310531,100,vanilla,fixed
371,72.0,2342.99844696723,100,vanilla,fixed
372,50.0,2247.737371516241,100,vanilla,fixed
373,109.0,2044.290883576674,100,vanilla,fixed
374,56.0,2706.5433996406346,100,vanilla,fixed
375,53.0,2169.682190842963,100,vanilla,fixed
376,71.0,2237.5686101016413,100,vanilla,fixed
377,77.0,2117.3884627013117,100,vanilla,fixed
378,65.0,2017.912758349071,100,vanilla,fixed
379,49.0,2227.134902337645,100,vanilla,fixed
380,80.0,2479.713400613696,100,vanilla,fixed
381,66.0,2142.22756872176,100,vanilla,fixed
382,53.0,1904.561181266755,100,vanilla,fixed
383,51.0,2250.3176842169714,100,vanilla,fixed
384,72.0,2394.919093295802,100,vanilla,fixed
385,53.0,2316.553542333482,100,vanilla,fixed
386,63.0,2442.713459195781,100,vanilla,fixed
387,57.0,2019.254875368957,100,vanilla,fixed
388,52.0,2068.680170282785,100,vanilla,fixed
389,45.0,1998.1343638915096,100,vanilla,fixed
390,46.0,1855.75790116356,100,vanilla,fixed
391,71.0,2097.8164924480675,100,vanilla,fixed
392,45.0,1986.3317757098223,100,vanilla,fixed
393,60.0,2525.1704536199795,100,vanilla,fixed
394,63.0,2087.3813987520257,100,vanilla,fixed
395,67.0,1966.7546744954848,100,vanilla,fixed
396,69.0,2155.12658479735,100,vanilla,fixed
397,64.0,2013.2610572475407,100,vanilla,fixed
398,66.0,2358.2091436134942,100,vanilla,fixed
399,101.0,2116.266934750864,100,vanilla,fixed
400,77.0,4975.990358731068,250,vanilla,fixed
401,81.0,5499.874030291267,250,vanilla,fixed
402,72.0,5289.525564829029,250,vanilla,fixed
403,74.0,5232.333072139085,250,vanilla,fixed
404,61.0,5269.714248446651,250,vanilla,fixed
405,86.0,4755.482070695647,250,vanilla,fixed
406,50.0,5228.093109160984,250,vanilla,fixed
407,77.0,5363.857769071497,250,vanilla,fixed
408,64.0,5141.642410523796,250,vanilla,fixed
409,74.0,5209.826894710748,250,vanilla,fixed
410,63.0,5309.251398687805,250,vanilla,fixed
411,80.0,5860.087057231903,250,vanilla,fixed
412,73.0,5135.536782692125,250,vanilla,fixed
413,66.0,5904.4191266214375,250,vanilla,fixed
414,82.0,5595.2352416494805,250,vanilla,fixed
415,74.0,5104.23027988799,250,vanilla,fixed
416,75.0,5263.695043337133,250,vanilla,fixed
417,76.0,4891.836607531856,250,vanilla,fixed
418,49.0,5389.72445015514,250,vanilla,fixed
419,70.0,5612.056200510308,250,vanilla,fixed
420,86.0,5457.178055844923,250,vanilla,fixed
421,79.0,5559.959067863869,250,vanilla,fixed
422,148.0,5497.61122867105,250,vanilla,fixed
423,70.0,5708.566361875772,250,vanilla,fixed
424,65.0,4955.355664129273,250,vanilla,fixed
425,68.0,5245.293758735835,250,vanilla,fixed
426,64.0,5401.317447513866,250,vanilla,fixed
427,52.0,5105.731829965542,250,vanilla,fixed
428,64.0,4564.971937445873,250,vanilla,fixed
429,78.0,4809.425764762597,250,vanilla,fixed
430,80.0,5268.309802525725,250,vanilla,fixed
431,72.0,4552.846653977201,250,vanilla,fixed
432,79.0,5629.806955352317,250,vanilla,fixed
433,63.0,5568.457131706933,250,vanilla,fixed
434,56.0,5129.041351007814,250,vanilla,fixed
435,86.0,5423.36238247069,250,vanilla,fixed
436,68.0,5612.317192867915,250,vanilla,fixed
437,82.0,5103.200982900905,250,vanilla,fixed
438,80.0,5249.580533980117,250,vanilla,fixed
439,54.0,5484.587825741475,250,vanilla,fixed
440,59.0,4719.081800072179,250,vanilla,fixed
441,72.0,5116.091760198691,250,vanilla,fixed
442,77.0,5947.972327592876,250,vanilla,fixed
443,65.0,5705.274512841848,250,vanilla,fixed
444,80.0,5399.716827256077,250,vanilla,fixed
445,85.0,5502.193702092964,250,vanilla,fixed
446,62.0,5520.937822461522,250,vanilla,fixed
447,66.0,5291.228854367664,250,vanilla,fixed
448,70.0,4998.10405513353,250,vanilla,fixed
449,56.0,5693.4362971807,250,vanilla,fixed
450,110.0,5242.084951829558,250,vanilla,fixed
451,78.0,4755.963871749212,250,vanilla,fixed
452,50.0,5788.135487890371,250,vanilla,fixed
453,70.0,5654.1220764315485,250,vanilla,fixed
454,53.0,5423.410483982094,250,vanilla,fixed
455,76.0,4903.85292959706,250,vanilla,fixed
456,69.0,5316.806767833499,250,vanilla,fixed
457,62.0,5568.348840090624,250,vanilla,fixed
458,77.0,4909.4106556508805,250,vanilla,fixed
459,138.0,4855.695894621134,250,vanilla,fixed
