,t,dist,eps,I,coll,var
76,9.0,1582.6892700425499,0.0026194347843641894,50,collapsed,free_v
77,11.0,1586.1540473836073,0.0026194347843641894,50,collapsed,free_v
78,11.0,1700.5147753498077,0.0026194347843641894,50,collapsed,free_v
79,13.0,1479.537267733629,0.0026194347843641894,50,collapsed,free_v
80,10.0,1982.9571116969646,0.0026194347843641894,50,collapsed,free_v
81,16.0,2299.4476936007836,0.0026194347843641894,50,collapsed,free_v
82,13.0,1684.5423101172319,0.0026194347843641894,50,collapsed,free_v
83,14.0,1785.5122152137671,0.0026194347843641894,50,collapsed,free_v
84,11.0,1479.468826363936,0.0026194347843641894,50,collapsed,free_v
85,11.0,1516.465674550838,0.0026194347843641894,50,collapsed,free_v
86,14.0,389129.6670312045,0.0026194347843641894,50,collapsed,free_v
87,13.0,1688.9173900027058,0.0026194347843641894,50,collapsed,free_v
88,9.0,1755.2774531872644,0.0026194347843641894,50,collapsed,free_v
89,15.0,1714.4933525422894,0.0026194347843641894,50,collapsed,free_v
90,9.0,1753.2198327449173,0.0026194347843641894,50,collapsed,free_v
91,13.0,1895.0289601635777,0.0026194347843641894,50,collapsed,free_v
92,13.0,1807.4629903166654,0.0026194347843641894,50,collapsed,free_v
93,13.0,1504.6936151759187,0.0026194347843641894,50,collapsed,free_v
94,12.0,1621.9093001006975,0.0026194347843641894,50,collapsed,free_v
95,11.0,1546.0450051687926,0.0026194347843641894,50,collapsed,free_v
96,14.0,1342.3286804917043,0.0026194347843641894,50,collapsed,free_v
97,12.0,2086.670017469758,0.0026194347843641894,50,collapsed,free_v
98,13.0,8030.835168652198,0.0026194347843641894,50,collapsed,free_v
99,15.0,1936.3922850652273,0.0026194347843641894,50,collapsed,free_v
100,13.0,5399.933971997569,0.0020357564816071293,100,collapsed,free_v
101,12.0,3378.536450945595,0.0020357564816071293,100,collapsed,free_v
102,10.0,3672.8628028543303,0.0020357564816071293,100,collapsed,free_v
103,11.0,3006.353854178494,0.0020357564816071293,100,collapsed,free_v
104,10.0,4041.6320117148525,0.0020357564816071293,100,collapsed,free_v
105,12.0,9908.155098759815,0.0020357564816071293,100,collapsed,free_v
106,11.0,3545.6057623767806,0.0020357564816071293,100,collapsed,free_v
107,11.0,3428.4640960027305,0.0020357564816071293,100,collapsed,free_v
108,11.0,3014.444451186047,0.0020357564816071293,100,collapsed,free_v
109,13.0,9414.832946935663,0.0020357564816071293,100,collapsed,free_v
110,10.0,3497.164882184266,0.0020357564816071293,100,collapsed,free_v
111,16.0,3379.3156667618127,0.0020357564816071293,100,collapsed,free_v
112,9.0,2973.441057973051,0.0020357564816071293,100,collapsed,free_v
113,9.0,3247.7740911408923,0.0020357564816071293,100,collapsed,free_v
114,10.0,262107.84861737787,0.0020357564816071293,100,collapsed,free_v
115,12.0,3614.9910948933343,0.0020357564816071293,100,collapsed,free_v
116,10.0,4132.353700988718,0.0020357564816071293,100,collapsed,free_v
117,10.0,3394.443022279641,0.0020357564816071293,100,collapsed,free_v
118,10.0,3240.6792927831366,0.0020357564816071293,100,collapsed,free_v
119,12.0,3885.708380973287,0.0020357564816071293,100,collapsed,free_v
120,12.0,3812.81320257049,0.0020357564816071293,100,collapsed,free_v
121,11.0,3649.694547825557,0.0020357564816071293,100,collapsed,free_v
122,12.0,3093.086302709528,0.0020357564816071293,100,collapsed,free_v
123,11.0,3854.8382116599773,0.0020357564816071293,100,collapsed,free_v
124,12.0,3457.368276501176,0.0020357564816071293,100,collapsed,free_v
125,14.0,3057.8039971781163,0.0020357564816071293,100,collapsed,free_v
126,10.0,2900.1622768250363,0.0020357564816071293,100,collapsed,free_v
127,11.0,17906.24535859982,0.0020357564816071293,100,collapsed,free_v
128,10.0,6196.10510661078,0.0020357564816071293,100,collapsed,free_v
129,11.0,3507.2944830048054,0.0020357564816071293,100,collapsed,free_v
130,10.0,3373.502434782139,0.0020357564816071293,100,collapsed,free_v
131,10.0,3228.5841898116887,0.0020357564816071293,100,collapsed,free_v
132,11.0,3904.986293569804,0.0020357564816071293,100,collapsed,free_v
133,12.0,4009.2178176842713,0.0020357564816071293,100,collapsed,free_v
134,11.0,2767.0586524041405,0.0020357564816071293,100,collapsed,free_v
135,12.0,3906.871384092706,0.0020357564816071293,100,collapsed,free_v
136,9.0,3190.64233493181,0.0020357564816071293,100,collapsed,free_v
137,10.0,3426.8188354285944,0.0020357564816071293,100,collapsed,free_v
138,10.0,5397.36801223164,0.0020357564816071293,100,collapsed,free_v
139,10.0,2872.243680857381,0.0020357564816071293,100,collapsed,free_v
140,11.0,3549.3066335524973,0.0020357564816071293,100,collapsed,free_v
